domain,server_id,status,maintenance,dns_ok,dns_addresses,dns_provider_managed,dns_provider_addresses,dns_provider_drift,http_status,http_scheme,response_ms,ttfb_ms,cold_ms,warm_ms,size_bytes,http_version,compressed,content_ok,content_issues,redirect_count,ssl_days_left,ssl_expires,mx_count,has_spf,has_dmarc
360demo.chilicode.com,web,ok,False,True,37.16.72.137,False,,False,200,https,653,161,653,161,452,HTTP/1.1,True,True,,0,61,2026-11-07,0,False,False
andibruckner.com,web,ok,False,True,37.16.72.137,False,,False,200,https,784,193,784,192,12923,HTTP/1.1,True,True,,0,54,2026-10-31,0,False,False
astro-lernstern.at,web,down,False,True,"104.21.77.190,172.67.211.44,2606:4700:3033::ac43:d32c,2606:4700:3037::6815:4dbe",False,,False,0,https,173,8,173,,57,HTTP/2,False,,,0,69,2026-11-15,0,False,False
bayer.cc,web,ok,False,True,37.16.72.137,False,,False,200,https,1244,543,1244,364,22227,HTTP/1.1,True,True,,0,54,2026-10-31,0,False,False
capro.cc,web,ok,False,True,37.16.72.137,False,,False,200,https,1224,566,1224,372,18783,HTTP/1.1,True,True,,0,50,2026-10-28,0,False,False
chilicode.com,web,ok,False,True,37.16.72.137,False,,False,200,https,1414,907,1414,413,24179,HTTP/1.1,True,True,,0,60,2026-11-07,0,False,False
der-bioimker.at,web,ok,False,True,37.16.72.137,False,,False,200,https,2529,242,2529,,23967,HTTP/1.1,True,True,,0,48,2026-10-25,0,False,False
derschimmelimhaus.at,web,ok,False,True,37.16.72.137,False,,False,301,https,687,167,687,167,378,HTTP/1.1,False,True,,0,60,2026-11-07,0,False,False
diefugenlosedusche.at,web,ok,False,True,37.16.72.137,False,,False,301,https,573,159,573,158,348,HTTP/1.1,False,True,,0,60,2026-11-07,0,False,False
drobits.chilicode.at,web,ok,False,True,37.16.72.137,False,,False,200,https,1217,599,1217,394,18578,HTTP/1.1,True,True,,0,71,2026-11-17,0,False,False
eisenbergklassik.at,web,ok,False,True,37.16.72.137,False,,False,301,https,652,161,652,160,322,HTTP/1.1,False,True,,0,61,2026-11-07,0,False,False
fairkleiden.at,web,ok,False,True,37.16.72.137,False,,False,200,https,1629,1111,1629,405,23142,HTTP/1.1,True,True,,0,60,2026-11-07,0,False,False
fairspeisen.com,web,down,True,True,37.16.72.137,False,,False,503,https,665,168,665,,381,HTTP/1.1,False,,,0,53,2026-10-31,0,False,False
fenzpr.com,web,down,False,True,"104.21.68.29,172.67.185.123,2606:4700:3031::ac43:b97b,2606:4700:3032::6815:441d",False,,False,0,https,123,13,123,,57,HTTP/2,False,,,0,69,2026-11-15,0,False,False
